Population,Working_Population,School_Attendance,Alcohol,Income_Deprived,Employment_Deprived,Illness,Mortality,Drugs,Depress,lowBW,HospEmer,NoQuals,Crime,No_heating,Glasgow
798,465,83,121,11,10,130,84,0,18,15,140,95,213,1,0
901,564,77,148,12,10,95,132,62,19,10,116,130,167,1,0
859,497,90,124,10,8,110,120,123,18,0,127,116,151,1,0
924,579,82,188,18,22,175,96,167,26,16,122,127,347,1,0
530,317,86,82,7,8,95,83,0,17,5,89,138,113,0,0
962,638,70,153,12,8,95,122,31,20,3,123,156,281,1,0
750,458,68,59,12,9,120,76,0,19,0,119,142,227,0,0
629,388,66,208,19,10,125,92,226,17,6,142,171,446,0,0
630,424,68,145,17,14,125,105,237,20,8,142,136,492,2,0
984,594,74,128,15,9,120,131,187,21,8,146,142,437,1,0
635,412,66,79,12,9,95,53,146,21,4,117,163,362,0,0
902,589,73,201,13,10,125,116,390,19,3,154,136,433,1,0
574,382,69,120,15,13,130,92,342,21,14,112,142,279,2,0
995,645,72,240,16,12,135,94,176,17,9,140,142,664,1,0
763,495,64,193,13,10,110,128,148,17,0,156,136,262,0,0
640,430,71,58,13,12,125,104,187,18,5,122,126,235,1,0
1013,656,64,102,25,16,165,96,298,20,5,166,186,1126,2,0
660,445,74,131,14,14,145,116,227,23,9,154,156,1061,0,0
1304,871,64,257,22,13,130,147,301,15,8,165,168,791,0,0
1033,641,62,275,18,17,160,207,399,23,7,160,168,901,2,0
792,500,71,93,11,8,95,112,145,18,3,103,134,379,1,0
829,532,65,234,23,16,160,110,342,21,8,170,175,471,0,0
784,523,73,177,9,7,95,79,242,13,3,135,139,281,2,0
559,371,82,144,17,16,130,78,247,22,5,128,169,394,1,0
1154,766,89,26,6,2,30,106,0,11,8,62,56,199,2,0
967,640,96,21,1,0,20,60,0,11,10,69,23,NA,0,0
975,611,94,98,2,2,40,143,0,15,2,60,40,72,0,0
616,373,93,62,1,1,35,80,0,13,0,69,34,49,0,0
1162,778,93,33,2,1,30,97,0,9,4,71,25,112,0,0
774,491,91,55,1,3,45,81,0,13,0,70,44,NA,0,0
908,686,73,108,5,4,45,91,67,14,6,98,84,496,2,0
807,610,85,50,5,5,45,96,53,10,4,95,70,260,5,0
753,500,74,186,9,7,80,87,191,18,3,115,105,638,1,0
647,350,86,212,9,10,90,72,207,20,19,105,129,309,1,0
451,247,86,220,9,8,75,89,69,18,0,88,101,200,0,0
642,427,76,64,4,3,55,75,181,15,9,85,74,234,1,0
619,442,77,35,7,5,75,70,197,16,0,76,91,226,2,0
838,539,77,133,15,8,95,110,101,20,3,119,121,466,1,0
840,489,77,42,10,8,105,101,108,20,10,97,94,203,0,0
810,459,90,53,3,3,40,58,0,17,8,74,61,161,1,0
1156,709,91,39,3,2,40,67,28,13,0,70,46,303,0,0
903,588,78,95,7,7,80,90,63,22,2,104,102,66,2,0
681,392,85,112,9,7,90,147,0,22,15,86,112,456,2,0
520,317,84,121,7,6,105,102,120,20,5,102,102,115,1,0
732,420,85,40,8,6,70,113,0,18,15,113,118,328,1,0
903,517,89,45,2,2,50,59,140,15,7,73,60,199,0,0
849,479,97,15,3,2,40,63,0,15,0,61,54,141,1,0
