Population,Working_Population,School_Attendance,Alcohol,Income_Deprived,Employment_Deprived,Illness,Mortality,Drugs,Depress,lowBW,HospEmer,NoQuals,Crime,No_heating,Glasgow
838,641,80,35,17,12,150,93,68,12,2,87,79,155,1,1
760,687,88,205,14,15,125,89,250,9,6,90,78,1357,5,1
783,724,62,646,27,26,325,286,706,10,4,197,144,2533,3,1
1022,738,77,441,28,30,240,151,550,25,3,166,167,980,5,1
943,674,69,237,37,24,270,143,384,23,6,162,178,658,5,1
619,448,67,392,11,12,80,175,416,16,9,103,221,1343,20,1
853,813,67,81,4,2,25,61,75,6,8,60,49,211,4,1
653,394,60,405,32,26,230,132,488,29,8,162,222,905,1,1
1016,744,75,247,25,19,200,161,236,23,12,147,204,1498,5,1
1047,962,68,25,10,9,125,74,45,7,7,57,48,918,4,1
835,690,79,205,16,15,150,198,170,15,0,122,111,1427,10,1
737,633,61,377,19,17,180,160,151,15,17,154,108,1264,5,1
1253,1034,78,149,12,11,110,173,67,14,9,118,123,655,5,1
751,547,69,373,33,29,240,169,229,25,14,169,208,773,8,1
1229,828,74,197,26,21,200,140,77,24,1,155,164,367,6,1
571,313,80,347,39,29,225,141,318,27,7,184,245,421,1,1
817,568,69,173,39,30,280,179,159,33,5,217,215,490,2,1
828,533,68,418,40,38,270,138,291,28,7,163,251,327,2,1
925,593,68,447,41,34,285,143,183,28,6,196,221,336,4,1
866,551,74,493,38,31,235,191,576,21,8,193,281,520,1,1
1007,702,68,505,55,43,340,158,269,23,5,207,257,637,2,1
758,494,65,210,30,32,240,151,419,25,3,158,249,1017,2,1
708,494,70,445,30,31,225,183,314,21,8,184,235,3098,6,1
931,644,76,186,31,18,200,175,231,21,3,141,213,473,4,1
582,366,73,172,38,35,295,157,354,25,12,193,305,1549,0,1
1200,829,63,1703,37,39,280,261,412,26,9,324,215,1327,5,1
453,326,60,159,30,24,210,246,532,25,4,229,264,553,1,1
435,302,75,233,26,17,175,141,111,17,6,133,198,414,4,1
797,582,70,266,28,24,235,169,425,22,11,151,252,415,1,1
582,442,64,164,18,16,145,116,35,19,3,114,157,465,8,1
922,682,78,339,27,23,200,136,78,24,11,129,207,521,4,1
550,387,78,78,15,15,165,87,0,20,3,123,138,164,1,1
763,476,75,292,25,20,190,147,75,25,0,157,183,617,4,1
973,676,66,288,33,30,255,239,140,30,10,187,210,1029,3,1
512,339,83,286,20,20,150,76,160,22,0,128,170,293,3,1
876,587,71,190,29,26,220,184,239,24,11,139,224,286,2,1
750,496,67,248,35,27,255,165,246,26,8,160,245,280,7,1
606,383,62,307,40,32,310,255,423,25,6,197,297,909,2,1
895,627,69,84,22,13,180,86,0,16,2,125,175,470,1,1
875,633,81,131,9,9,115,70,208,18,6,106,122,298,2,1
654,495,91,47,6,7,100,87,0,19,0,116,118,61,3,1
795,522,84,92,16,15,170,94,36,22,13,147,133,353,3,1
803,536,82,95,13,14,160,118,0,22,5,116,160,162,1,1
754,452,88,96,10,9,120,103,0,20,0,103,102,186,1,1
738,429,81,55,11,8,120,155,0,19,0,104,95,136,2,1
621,343,91,101,22,18,190,120,56,22,5,117,198,NA,3,1
658,434,68,194,18,18,170,100,0,21,0,161,174,91,3,1
656,420,79,76,24,21,225,140,232,24,7,141,209,366,2,1
632,429,79,15,5,7,90,89,0,16,0,113,103,95,1,1
869,558,90,30,3,4,70,75,0,15,0,92,70,104,0,1
661,382,87,20,5,6,80,56,0,15,5,87,90,106,1,1
691,406,86,134,6,6,95,59,0,15,0,89,105,116,1,1
810,532,83,52,10,9,105,55,69,18,10,93,97,223,1,1
730,449,82,231,24,19,190,131,125,24,7,128,181,233,3,1
835,527,73,106,24,19,215,140,0,29,3,127,179,216,3,1
739,470,91,41,8,7,85,73,43,18,5,91,103,108,1,1
909,566,71,226,29,26,230,139,0,30,11,165,220,253,2,1
539,295,92,53,8,6,105,86,0,20,17,87,85,NA,1,1
1203,849,90,10,4,3,50,83,0,9,1,79,84,92,1,1
675,456,79,84,24,20,215,104,286,25,8,154,167,638,5,1
1068,728,81,107,10,8,130,148,102,21,8,136,103,131,2,1
943,671,85,85,7,6,80,107,0,14,2,107,118,202,1,1
961,560,72,292,30,23,220,148,137,28,7,182,195,219,2,1
836,565,85,74,14,11,130,115,33,19,4,126,126,192,3,1
678,410,92,65,10,11,115,76,0,21,5,98,97,89,2,1
647,416,88,40,4,4,70,89,47,21,6,91,90,77,2,1
706,492,84,111,5,6,95,74,0,16,4,83,84,71,4,1
730,477,87,32,9,9,105,70,0,17,12,92,103,384,1,1
730,478,88,25,4,7,75,86,87,16,0,84,106,137,0,1
694,442,89,53,6,5,70,63,0,14,0,84,86,188,0,1
823,505,88,33,11,9,135,103,0,22,0,113,123,122,1,1
739,464,77,31,9,7,105,99,0,23,5,122,134,68,0,1
886,689,87,20,5,4,70,47,0,15,7,82,94,102,0,1
1010,749,84,29,5,5,65,32,0,14,5,90,104,159,0,1
880,664,89,18,7,5,70,69,27,14,5,122,101,205,1,1
447,329,69,166,18,15,125,142,292,22,0,209,258,583,2,1
301,196,76,161,21,18,165,158,0,24,0,138,268,499,5,1
807,562,67,213,33,22,185,138,281,24,2,179,213,261,8,1
730,495,76,162,25,25,225,158,79,27,4,175,232,220,11,1
819,595,78,116,24,19,180,172,121,21,9,199,199,391,6,1
780,478,69,265,36,30,225,121,206,29,16,159,258,372,3,1
787,514,70,274,45,38,340,224,375,30,2,216,263,496,4,1
936,648,70,220,37,30,290,164,183,28,13,211,259,503,0,1
624,410,69,88,31,25,220,166,188,28,11,198,247,401,0,1
814,539,63,322,37,29,270,159,339,31,10,238,271,529,2,1
607,439,84,50,18,11,150,89,0,21,4,116,190,82,1,1
1130,788,82,66,16,11,140,130,20,12,4,108,153,230,3,1
1028,726,87,32,8,5,85,62,25,13,4,99,101,682,3,1
697,437,59,297,49,35,320,157,137,24,3,228,303,905,6,1
547,387,71,297,21,15,155,171,202,22,0,183,242,787,1,1
1044,696,64,173,42,30,285,182,137,27,4,175,285,489,2,1
633,438,60,189,46,36,315,195,138,27,10,208,275,459,0,1
474,341,61,353,48,42,295,241,297,32,8,220,278,2197,3,1
718,453,72,159,32,22,230,211,0,21,5,170,234,349,2,1
